394,红色,hóngsè,Màu đỏ,,,那些衣服是红色的。,nàxiē yīfu shì hóngsè de.,Những bộ quần áo kia màu đỏ.
395,黑色,hēisè,Màu đen,,,黑色手机。,hēisè shǒujī.,Điện thoại màu đen.
396,蓝色,lánsè,Màu xanh dương,,,蓝色的笔。,lánsè de bǐ.,Cái bút màu xanh dương.
397,白色,báisè,Màu trắng,,,白色的纸。,báisè de zhǐ.,Giấy màu trắng.
398,绿色,lǜsè,Màu xanh lá,,,绿色标签。,lǜsè biāoqiān.,Nhãn màu xanh lá.
399,黄色,huángsè,Màu vàng,,,黄色衣服。,huángsè yīfu.,Quần áo màu vàng.
400,过去,guòqù,Quá khứ,,,过去的事。,guòqù de shì.,Chuyện quá khứ.
401,将来,jiānglái,Tương lai,,,将来我会去中国。,jiānglái wǒ huì qù zhōngguó.,Tương lai tôi sẽ đi Trung Quốc.
402,重量,zhòngliàng,Trọng lượng,,,重量不一样。,zhòngliàng bù yíyàng.,Trọng lượng không giống nhau.
403,功率,gōnglǜ,Công suất,,,这个机器的功率很大。,zhè ge jīqì de gōnglǜ hěn dà.,Công suất của máy này rất lớn.
404,饿,è,Đói,,,我又累又饿。,wǒ yòu lèi yòu è.,Tôi vừa mệt vừa đói.
405,累,lèi,Mệt,,,我又累又饿。,wǒ yòu lèi yòu è.,Tôi vừa mệt vừa đói.
406,复杂,fùzá,Phức tạp,,,操作流程很复杂。,cāozuò liúchéng hěn fùzá.,Quy trình thao tác rất phức tạp.
407,安全,ānquán,An toàn,,,这个操作很安全。,zhè ge cāozuò hěn ānquán.,Thao tác này rất an toàn.
408,危险,wēixiǎn,Nguy hiểm,,,这个机器很危险。,zhè ge jīqì hěn wēixiǎn.,Cái máy này rất nguy hiểm.
409,模仿,mófǎng,Mô phỏng,,,我们来模仿操作。,wǒmen lái mófǎng cāozuò.,Chúng ta hãy mô phỏng thao tác.
410,呼吸,hūxī,"Hô hấp, hít thở",,,呼吸困难。,hūxī kùnnán.,Hô hấp khó khăn.
411,吸引,xīyǐn,Thu hút,,,吸引力很大。,xīyǐnlì hěn dà.,Lực thu hút rất lớn.
412,通过,tōngguò,Thông qua,,,质量好才可以通过。,zhìliàng hǎo cái kěyǐ tōngguò.,Chất lượng tốt mới có thể thông qua.
413,批准,pīzhǔn,Phê chuẩn,,,经理还没批准。,jīnglǐ hái méi pīzhǔn.,Giám đốc vẫn chưa phê chuẩn.
414,年休假,niánxiūjià,Phép năm,,,我想请年休假。,wǒ xiǎng qǐng niánxiūjià.,Tôi muốn xin nghỉ phép năm.
415,错误,cuòwù,Lỗi sai,,,找到错误了。,zhǎodào cuòwù le.,Tìm thấy lỗi sai rồi.
416,程序,chéngxù,Chương trình,,,程序才能运行。,chéngxù cái néng yùnxíng.,Chương trình mới có thể vận hành.
417,程序员,chéngxùyuán,Lập trình viên,,,他是程序员。,tā shì chéngxùyuán.,Anh ấy là lập trình viên.
418,决定,juédìng,Quyết định,,,我们才可以决定这个问题。,wǒmen cái kěyǐ juédìng zhè ge wèntí.,Chúng ta mới có thể quyết định vấn đề này.
419,吹牛,chuīniú,"Chém gió, bốc phét",,,他在吹牛。,tā zài chuīniú.,Anh ấy đang chém gió.
420,关心,guānxīn,Quan tâm,,,我都不关心。,wǒ dōu bù guānxīn.,Tôi đều không quan tâm.
421,关注,guānzhù,Theo dõi,,,请关注这个问题。,qǐng guānzhù zhè ge wèntí.,Xin hãy theo dõi vấn đề này.
422,观察,guānchá,Quan sát,,,仔细观察。,zǐxì guānchá.,Quan sát tỉ mỉ.
423,开关,kāiguān,Công tắc,,,把开关打开。,bǎ kāiguān dǎkāi.,Mở công tắc lên.
424,及时,jíshí,Kịp thời,,,都要及时报告。,dōu yào jíshí bàogào.,Đều phải báo cáo kịp thời.
425,迟到,chídào,Đi muộn,,,不要迟到。,bú yào chídào.,Đừng đi muộn.
426,交流,jiāoliú,Giao lưu,,,跟大家交流。,gēn dàjiā jiāoliú.,Giao lưu với mọi người.
427,轮流,lúnliú,Lần lượt,,,轮流操作。,lúnliú cāozuò.,Lần lượt thao tác.
428,遵守,zūnshǒu,Tuân thủ,,,都要遵守规定。,dōu yào zūnshǒu guīdìng.,Đều phải tuân thủ quy định.
429,规定,guīdìng,Quy định,,,都要遵守规定。,dōu yào zūnshǒu guīdìng.,Đều phải tuân thủ quy định.
430,规划,guīhuà,Quy hoạch,,,工厂规划。,gōngchǎng guīhuà.,Quy hoạch nhà máy.
431,计划,jìhuà,Kế hoạch,,,生产计划。,shēngchǎn jìhuà.,Kế hoạch sản xuất.
432,变色,biànsè,Biến màu,,,产品会变色。,chǎnpǐn huì biànsè.,Sản phẩm sẽ bị biến màu.
433,要不,yàobù,Nếu không thì,,,要不产品会变色。,yào bù chǎnpǐn huì biànsè.,Nếu không sản phẩm sẽ biến màu.
434,条,tiáo,Con (lượng từ),,,两条狗。,liǎng tiáo gǒu.,Hai con chó.
435,本,běn,"Cuốn, quyển",,,一本书。,yì běn shū.,Một cuốn sách.
436,词典,cídiǎn,Từ điển,,,一本词典。,yì běn cídiǎn.,Một cuốn từ điển.
437,毛衣,máoyī,Áo len,,,两件毛衣。,liǎng jiàn máoyī.,Hai cái áo len.
438,减,jiǎn,Trừ,,,加减。,jiā jiǎn.,Cộng trừ.
439,乘,chéng,Nhân,,,乘除。,chéng chú.,Nhân chia.
440,除以,chúyǐ,Chia cho,,,除以二。,chú yǐ èr.,Chia cho hai.
441,等于,děngyú,Bằng (Toán),,,等于几？,děngyú jǐ?,Bằng mấy?
442,台币,táibì,Đài tệ,,,一百台币。,yì bǎi táibì.,100 Đài tệ.
443,抹布,mābù,Khăn lau,,,拿一块抹布。,ná yí kuài mā bù.,Lấy một cái khăn lau.
444,截图,jiétú,Chụp màn hình,,,遇到异常请截图。,yù dào yìcháng qǐng jiétú.,Gặp bất thường xin chụp màn hình.
445,爱,ài,Yêu,,,我爱上你了。,wǒ ài shàng nǐ le.,Tôi yêu em mất rồi.
446,考,kǎo,"Thi, đỗ",,,考上大学。,kǎo shàng dàxué.,Đỗ đại học.
447,大学,dàxué,Đại học,,,考上大学。,kǎo shàng dàxué.,Đỗ đại học.
448,照相机,zhàoxiàngjī,Máy ảnh,,,带上照相机。,dài shàng zhàoxiàngjī.,Mang theo máy ảnh.
449,猫,māo,Con mèo,,,她的猫。,tā de māo.,Con mèo của cô ấy.
450,眼睛,yǎnjing,Mắt,,,大眼睛。,dà yǎnjing.,Mắt to.
451,容易,róngyì,Dễ,,,这个操作很不准，很容易发生问题。,"zhè ge cāozuò bù zhǔn, hěn róngyì fāshēng wèntí.","Thao tác này không chuẩn, rất dễ phát sinh vấn đề."
452,生气,shēngqì,Tức giận / Nổi nóng,,,他很容易生气。,tā hěn róngyì shēngqì.,Anh ấy rất dễ nổi nóng.
453,经验,jīngyàn,Kinh nghiệm,,,如果没有经验这个工作就很难。,rúguǒ méiyǒu jīngyàn zhè ge gōngzuò jiù hěn nán.,Nếu không có kinh nghiệm thì công việc này sẽ rất khó.
454,觉得,juéde,Cảm thấy / Thấy,,,他觉得这个工作太难了。,tā juéde zhè ge gōngzuò tài nán le.,Anh ấy thấy công việc này quá khó.
455,继续,jìxù,Tiếp tục,,,如果机器继续停今天的产量就会很低。,rúguǒ jīqì jìxù tíng jīntiān de chǎnliàng jiù huì hěn dī.,Nếu máy tiếp tục dừng thì sản lượng hôm nay sẽ rất thấp.
456,确认,quèrèn,Xác nhận,,,我们一起确认一下。,wǒmen yìqǐ quèrèn yíxià.,Chúng ta cùng xác nhận một chút.
457,比如,bǐrú,Ví dụ (như),,,生产有很多步骤，比如组装，测试。,"shēngchǎn yǒu hěn duō bùzhòu, bǐrú zǔzhuāng, cèshì.","Sản xuất có nhiều bước ví dụ lắp ráp, test."
458,经常,jīngcháng,Thường xuyên,,,我经常学中文。,wǒ jīngcháng xué zhōngwén.,Tôi thường xuyên học tiếng Trung.
459,偶尔,ǒu'ěr,Thỉnh thoảng,,,我偶尔加班。,wǒ ǒu'ěr jiābān.,Tôi thỉnh thoảng tăng ca.
460,一直,yìzhí,Luôn luôn / Suốt,,,机器一直在运行。,jīqì yìzhí zài yùnxíng.,Máy chạy liên tục.
461,抽烟,chōuyān,Hút thuốc,,,老板不让我抽烟。,lǎobǎn bú ràng wǒ chōuyān.,Sếp không cho tôi hút thuốc.
462,忙,máng,Bận / Bận rộn,,,工程师在忙修机。,gōngchéngshī zài máng xiū jī.,Kỹ sư đang bận sửa máy.
463,紧张,jǐnzhāng,Căng thẳng,,,面试的时候不太紧张。,miànshì de shíhòu bú tài jǐnzhāng.,Khi phỏng vấn đừng quá căng thẳng.
464,着急,zháojí,Sốt ruột / Lo lắng,,,机器坏掉了，我很着急。,"jīqì huài diào le, wǒ hěn zháojí.","Máy hỏng rồi, tôi rất sốt ruột."
465,空调,kōngtiáo,Điều hòa,,,可以开风扇或者空调。,kěyǐ kāi fēngshàn huòzhě kōngtiáo.,Có thể bật quạt hoặc điều hòa.
466,调试,tiáoshì,Vận hành thử,,,机器需要调试。,jīqì xūyào tiáoshì.,Máy móc cần điều chỉnh/chạy thử.
467,考虑,kǎolǜ,Cân nhắc / Suy nghĩ,,,让我安静考虑一下。,ràng wǒ ānjìng kǎolǜ yíxià.,Để tôi yên tĩnh suy nghĩ một lát.
468,细节,xìjié,Chi tiết,,,多注意产品的细节。,duō zhùyì chǎnpǐn de xìjié.,Chú ý nhiều hơn đến chi tiết sản phẩm.
469,手套,shǒutào,Găng tay,,,他让我给他拿一个手套。,tā ràng wǒ gěi tā ná yí gè shǒutào.,Anh ấy bảo tôi mang cho anh ấy 1 đôi găng tay.
470,领料,lǐngliào,Lĩnh liệu,,,阿强让我去仓库领料。,ā qiáng ràng wǒ qù cāngkù lǐngliào.,A Cường bảo tôi ra kho lĩnh liệu.
471,简历,jiǎnlì,Sơ yếu lý lịch (CV),,,这是我的简历。,zhè shì wǒ de jiǎnlì.,Đây là sơ yếu lý lịch của tôi.
472,面试,miànshì,Phỏng vấn,,,面试的时候不太紧张。,miànshì de shíhòu bú tài jǐnzhāng.,Khi phỏng vấn đừng quá căng thẳng.
473,技能,jìnéng,Kỹ năng,,,时间管理技能。,shíjiān guǎnlǐ jìnéng.,Kỹ năng quản lý thời gian.
474,只要,zhǐyào,Chỉ cần,,,只要按按钮机器就会开始运行。,zhǐyào àn ànniǔ jīqì jiù huì kāishǐ yùnxíng.,Chỉ cần bấm nút là máy sẽ bắt đầu chạy.
475,只有,zhǐyǒu,Chỉ có,,,只有质量好产品才可以通过。,zhǐyǒu zhìliàng hǎo chǎnpǐn cái kěyǐ tōngguò.,Chỉ có chất lượng tốt thì sản phẩm mới được thông qua.
476,不管,bùguǎn,Bất kể,,,不管是谁去工厂都要穿静电衣。,bùguǎn shì shuí qù gōngchǎng dōu yào chuān jìngdiànyī.,Bất kể là ai vào xưởng đều phải mặc áo tĩnh điện.
477,换,huàn,Đổi / Thay,,,如果这个零件坏了，就要马上换新的。,"rúguǒ zhège língjiàn huài le, jiù yào mǎshàng huàn xīn de.",Nếu linh kiện hỏng thì phải thay ngay.
478,转,zhuǎn,Chuyển / Xoay,,,请把文件转给质量部门确认。,qǐng bǎ wénjiàn zhuǎn gěi zhìliàng bùmén quèrèn.,Chuyển tài liệu cho bộ phận chất lượng xác nhận.
479,进度,jìndù,Tiến độ,,,检查进度。,jiǎnchá jìndù.,Kiểm tra tiến độ.
480,样品,yàngpǐn,Hàng mẫu,,,请拿样品给工程师看。,qǐng ná yàngpǐn gěi gōngchéngshī kàn.,Hãy lấy mẫu cho kỹ sư xem.
481,图纸,túzhǐ,Bản vẽ,,,拿图纸。,ná túzhǐ.,Lấy bản vẽ.
482,报表,bàobiǎo,Bảng báo cáo,,,拿报表。,ná bàobiǎo.,Lấy báo cáo.
483,模具,mójù,Khuôn mẫu,,,换模具。,huàn mójù.,Thay khuôn mẫu.
484,钥匙,yàoshi,Chìa khóa,,,拿钥匙。,ná yàoshi.,Lấy chìa khóa.
485,电压,diànyā,Điện áp,,,测量电压一下。,cèliáng diànyā yíxià.,Đo điện áp một chút.
486,工段,gōngduàn,Công đoạn,,,这个问题容易发生在这个工段。,zhè ge wèntí róngyì fāshēng zài zhè ge gōngduàn.,Vấn đề này dễ xảy ra ở công đoạn này.
487,施工,shīgōng,Thi công,,,我们正在施工。,wǒmen zhèngzài shīgōng.,Chúng tôi đang thi công.
488,自动化,zìdònghuà,Tự động hóa,,,我的专业是自动化。,wǒ de zhuānyè shì zìdònghuà.,Chuyên ngành của tôi là tự động hóa.
489,这样,zhèyàng,Như thế này,,,下次我不会这样。,xià cì wǒ bú huì zhèyàng.,Lần sau tôi không thế nữa.
490,消息,xiāoxi,Tin nhắn,,,发消息。,fā xiāoxi.,Gửi tin nhắn.
491,杯子,bēizi,Cái cốc,,,这个杯子是我的。,zhè ge bēizi shì wǒ de.,Cái cốc này là của tôi.
492,贵,guì,Đắt,,,这个材料很贵。,zhè ge cáiliào hěn guì.,Vật liệu này rất đắt.
493,冷,lěng,Lạnh,,,今天很冷。,jīntiān hěn lěng.,Hôm nay rất lạnh.
494,入库,rùkù,Nhập kho,,,暂停入库。,zàntíng rùkù.,Tạm dừng nhập kho.
495,出库,chūkù,Xuất kho,,,暂停出库。,zàntíng chūkù.,Tạm dừng xuất kho.
496,经验,jīngyàn,Kinh nghiệm,,,如果没有经验这个工作就很难。,rúguǒ méiyǒu jīngyàn zhè ge gōngzuò jiù hěn nán.,Nếu không có kinh nghiệm thì công việc này sẽ rất khó.
497,抽烟,chōuyān,Hút thuốc,,,老板不让我抽烟。,lǎobǎn bú ràng wǒ chōuyān.,Sếp không cho tôi hút thuốc.
498,忙,máng,Bận,,,工程师在忙修机。,gōngchéngshī zài máng xiū jī.,Kỹ sư đang bận sửa máy.
499,着急,zháojí,"Lo lắng, sốt ruột",,,机器坏掉了，我很着急。,"jīqì huài diào le, wǒ hěn zháojí.","Máy hỏng rồi, tôi rất sốt ruột."
500,紧张,jǐnzhāng,"Căng thẳng, hồi hộp",,,面试的时候不太紧张。,miànshì de shíhòu bú tài jǐnzhāng.,Khi phỏng vấn đừng quá căng thẳng.
501,继续,jìxù,Tiếp tục,,,如果机器继续停今天的产量就会很低。,rúguǒ jīqì jìxù tíng jīntiān de chǎnliàng jiù huì hěn dī.,Nếu máy tiếp tục dừng thì sản lượng hôm nay sẽ rất thấp.
502,确认,quèrèn,Xác nhận,,,如果重新测试产品，我们可以确认问题。,"rúguǒ chóngxīn cèshì chǎnpǐn, wǒmen kěyǐ quèrèn wèntí.",Nếu test lại sản phẩm thì chúng ta có thể xác nhận vấn đề.
503,比如,bǐrú,Ví dụ,,,生产有很多步骤，比如组装，测试。,"shēngchǎn yǒu hěn duō bùzhòu, bǐrú zǔzhuāng, cèshì.","Sản xuất có nhiều bước ví dụ lắp ráp, test."
504,满意,mǎnyì,Hài lòng,,,我的老板让我很满意。,wǒ de lǎobǎn ràng wǒ hěn mǎnyì.,Sếp của tôi làm tôi rất hài lòng.
505,原因,yuányīn,Nguyên nhân,,,主要的原因就是不良料。,zhǔyào de yuányīn jiù shì bùliáng liào.,Nguyên nhân chủ yếu chính là nguyên liệu NG.
506,影响,yǐngxiǎng,Ảnh hưởng,,,这个问题不但影响到生产而且影响到进度。,zhè ge wèntí búdàn yǐngxiǎng dào shēngchǎn érqiě yǐngxiǎng dào jìndù.,Vấn đề này không những ảnh hưởng đến sản xuất mà còn ảnh hưởng đến tiến độ.
507,评价,píngjià,Đánh giá,,,客户叫我评价生产设备。,kèhù jiào wǒ píngjià shēngchǎn shèbèi.,Khách hàng bảo tôi đánh giá thiết bị sản xuất.
508,自动化,zìdònghuà,Tự động hóa,,,我的专业是自动化。,wǒ de zhuānyè shì zìdònghuà.,Chuyên ngành của tôi là tự động hóa.
509,工段,gōngduàn,Công đoạn,,,这个问题容易发生在这个工段。,zhè ge wèntí róngyì fāshēng zài zhè ge gōngduàn.,Vấn đề này dễ xảy ra ở công đoạn này.
510,一直,yìzhí,Luôn luôn / Suốt,,,机器一直在运行。,jīqì yìzhí zài yùnxíng.,Máy chạy liên tục.
511,模具,mójù,Khuôn mẫu,,,换模具。,huàn mójù.,Thay khuôn.
512,技能,jìnéng,Kỹ năng,,,时间管理技能。,shíjiān guǎnlǐ jìnéng.,Kỹ năng quản lý thời gian.
513,空调,kōngtiáo,Điều hòa,,,如果太热的话，可以开风扇或者空调。,"rúguǒ tài rè de huà, kěyǐ kāi fēngshàn huòzhě kōngtiáo.",Nếu nóng thì có thể bật quạt hoặc điều hòa.
514,容易,róngyì,Dễ,,,这个操作很不准，很容易发生问题。,"zhè ge cāozuò bù zhǔn, hěn róngyì fāshēng wèntí.","Thao tác này không chuẩn, rất dễ phát sinh vấn đề."
515,生气,shēngqì,Tức giận / Nổi nóng,,,他很容易生气。,tā hěn róngyì shēngqì.,Anh ấy rất dễ nổi nóng.
516,专业,zhuānyè,Chuyên ngành,,,我的专业是电子。,wǒ de zhuānyè shì diànzǐ.,Chuyên ngành của tôi là điện tử.
517,服务,fúwù,Phục vụ / Dịch vụ,,,你对我们的服务满意吗？,nǐ duì wǒmen de fúwù mǎnyì ma?,Bạn có hài lòng với dịch vụ của chúng tôi không?
518,细节,xìjié,Chi tiết,,,老板让大家多注意产品的细节。,lǎobǎn ràng dàjiā duō zhùyì chǎnpǐn de xìjié.,Sếp bảo mọi người chú ý nhiều hơn đến chi tiết sản phẩm.
519,手套,shǒutào,Găng tay,,,他让我给他拿一个手套。,tā ràng wǒ gěi tā ná yí gè shǒutào.,Anh ấy bảo tôi mang cho anh ấy một đôi găng tay.
520,电压,diànyā,Điện áp,,,他让我测量电压一下。,tā ràng wǒ cèliáng diànyā yíxià.,Anh ấy bảo tôi đo điện áp một chút.
521,警示,jǐngshì,Cảnh báo,FALSE,警示,黄色警示的灯亮，设备要检查。,"huángsè jǐngshì de dēng liàng, shèbèi yào jiǎnchá.","Đèn cảnh báo vàng sáng, máy cần kiểm tra."
522,亮,liàng,Sáng,FALSE,亮,黄色警示的灯亮，设备要检查。,"huángsè jǐngshì de dēng liàng, shèbèi yào jiǎnchá.","Đèn cảnh báo vàng sáng, máy cần kiểm tra."
523,标识,biāozhì,Ký hiệu,FALSE,标识,看到黄色的标识要停操作。,kàndào huángsè de biāozhì yào tíng cāozuò.,Thấy kí hiệu màu vàng thì phải dừng thao tác.
524,变化,biànhuà,Biến hóa / Thay đổi,FALSE,变化,颜色会有变化。,yánsè huì yǒu biànhuà.,Màu sắc sẽ có sự thay đổi.
525,用来,yònglái,Dùng để,FALSE,用来,黄色的袋子用来装产品。,huángsè de dàizi yònglái zhuāng chǎnpǐn.,Túi màu vàng dùng để đựng sản phẩm.
526,袋子,dàizi,Túi,FALSE,袋子,黄色的袋子用来装产品。,huángsè de dàizi yònglái zhuāng chǎnpǐn.,Túi màu vàng dùng để đựng sản phẩm.
527,包膜,bāomó,Màng bọc,FALSE,包膜,拿包膜用来包装。,ná bāomó yònglái bāozhuāng.,Lấy màng bọc dùng để đóng gói.
528,盘点,pándiǎn,Kiểm kê,FALSE,盘点,月底我们要盘点。,yuèdǐ wǒmen yào pándiǎn.,Cuối tháng chúng ta phải kiểm kê.
529,医院,yīyuàn,Bệnh viện,FALSE,医院,明天我请假去医院。,míngtiān wǒ qǐngjià qù yīyuàn.,Ngày mai tôi xin nghỉ đi bệnh viện.
530,生病,shēngbìng,"Bệnh, ốm",FALSE,生病,我生病了。,wǒ shēngbìng le.,Tôi bị ốm rồi.
531,病假,bìngjià,Nghỉ ốm,FALSE,病假,我身体不好，想请病假。,"wǒ shēntǐ bù hǎo, xiǎng qǐng bìngjià.","Tôi không khoẻ, muốn xin nghỉ ốm."
532,事假,shìjià,Nghỉ việc riêng,FALSE,事假,我家有事，想请事假。,"wǒ jiā yǒu shì, xiǎng qǐng shìjià.","Nhà tôi có việc, muốn xin nghỉ việc riêng."
533,年假,niánjià,Nghỉ phép năm,FALSE,年假,我还有五天年假还没用。,wǒ hái yǒu wǔ tiān niánjià hái méi yòng.,Tôi vẫn còn 5 ngày phép năm vẫn chưa dùng.
534,身体,shēntǐ,Sức khỏe / Cơ thể,FALSE,身体,我身体不好，想请病假。,"wǒ shēntǐ bù hǎo, xiǎng qǐng bìngjià.","Tôi không khoẻ, muốn xin nghỉ ốm."
535,锻炼,duànliàn,Rèn luyện,FALSE,锻炼,每天要锻炼身体。,měitiān yào duànliàn shēntǐ.,Mỗi ngày phải rèn luyện sức khoẻ.
536,练习,liànxí,Luyện tập,FALSE,练习,每天我都练习中文。,měitiān wǒ dōu liànxí zhōngwén.,Mỗi ngày tôi đều luyện tập tiếng Trung.
537,决心,juéxīn,Quyết tâm,FALSE,决心,我们要下决心。,wǒmen yào xià juéxīn.,Chúng ta phải hạ quyết tâm.
538,修改,xiūgǎi,Sửa chữa / Chỉnh sửa,FALSE,修改,这个问题要马上修改。,zhè ge wèntí yào mǎshàng xiūgǎi.,Vấn đề này cần chỉnh sửa ngay.
539,调整器,tiáozhěngqì,Bộ điều chỉnh,FALSE,调整器,调整器在哪里？,tiáozhěngqì zài nǎlǐ?,Bộ điều chỉnh ở đâu?
540,调整阀,tiáozhěngfá,Van điều chỉnh,FALSE,调整阀,检查调整阀。,jiǎnchá tiáozhěngfá.,Kiểm tra van điều chỉnh.
541,电磁阀,diàncífá,Van điện từ,FALSE,电磁阀,电磁阀坏了。,diàncífá huài le.,Van điện từ hỏng rồi.
542,网线,wǎngxiàn,Dây mạng,FALSE,网线,插上网线。,chā shàng wǎngxiàn.,Cắm dây mạng vào.
543,警察,jǐngchá,Cảnh sát,FALSE,警察,遇到危险要叫警察。,yùdào wēixiǎn yào jiào jǐngchá.,Gặp nguy hiểm phải gọi cảnh sát.
544,警告,jǐnggào,Cảnh cáo,FALSE,警告,这是警告标志。,zhè shì jǐnggào biāozhì.,Đây là biển cảnh cáo.
545,漂亮,piàoliang,Xinh đẹp,FALSE,漂亮,这个颜色很漂亮。,zhè ge yánsè hěn piàoliang.,Màu sắc này rất đẹp.
546,月亮,yuèliang,Mặt trăng,FALSE,月亮,晚上的月亮很亮。,wǎnshang de yuèliang hěn liàng.,Mặt trăng buổi tối rất sáng.
547,热,rè,Nóng,FALSE,热,今天很热。,jīntiān hěn rè.,Hôm nay rất nóng.
548,冷,lěng,Lạnh,FALSE,冷,里面很冷。,lǐmiàn hěn lěng.,Bên trong rất lạnh.
549,出色,chūsè,Xuất sắc,FALSE,出色,他的工作很出色。,tā de gōngzuò hěn chūsè.,Công việc của anh ấy rất xuất sắc.
550,出口,chūkǒu,Xuất khẩu / Lối ra,FALSE,出口,这是出口产品。,zhè shì chūkǒu chǎnpǐn.,Đây là sản phẩm xuất khẩu.
551,不但...而且...,búdàn... érqiě...,Không những... mà còn...,FALSE,不但...而且...,这个机器不但快而且稳定。,zhè ge jīqì búdàn kuài érqiě wěndìng.,Máy này không những nhanh mà còn ổn định.
552,只要...就...,zhǐyào... jiù...,Chỉ cần... thì...,FALSE,只要...就...,只要按按钮机器就会开始运行。,zhǐyào àn ànniǔ jīqì jiù huì kāishǐ yùnxíng.,Chỉ cần bấm nút là máy sẽ bắt đầu chạy.
553,只有...才...,zhǐyǒu... cái...,Chỉ có... mới...,FALSE,只有...才...,只有穿静电衣你才进来工厂。,zhǐyǒu chuān jìngdiànyī nǐ cái jìnlái gōngchǎng.,Chỉ có mặc áo tĩnh điện thì bạn mới được vào xưởng.
554,不管...都...,bùguǎn... dōu...,Bất kể... đều...,FALSE,不管...都...,不管是谁去工厂都要穿静电衣。,bùguǎn shì shuí qù gōngchǎng dōu yào chuān jìngdiànyī.,Bất kể là ai vào xưởng đều phải mặc áo tĩnh điện.
555,又...又...,yòu... yòu...,Vừa... vừa...,FALSE,又...又...,这个机器又稳定又快。,zhè ge jīqì yòu wěndìng yòu kuài.,Máy này vừa ổn định vừa nhanh.
556,补充,bǔchōng,Bổ sung,FALSE,补充,包装的材料不够，要补充。,"bāozhuāng de cáiliào bú gòu, yào bǔchōng.","Vật liệu đóng gói không đủ, cần bổ sung."
557,优化,yōuhuà,Tối ưu hóa,FALSE,优化,请优化包装的流程。,qǐng yōuhuà bāozhuāng de liúchéng.,Hãy tối ưu hoá quy trình đóng gói.
558,更新,gēngxīn,Cập nhật,FALSE,更新,出货以后要更新系统。,chūhuò yǐhòu yào gēngxīn xìtǒng.,Sau khi xuất hàng cần cập nhật hệ thống.
559,捆包机,kǔnbāojī,Máy đóng đai,FALSE,捆包机,捆包机正在运行。,kǔnbāojī zhèngzài yùnxíng.,Máy đóng đai đang hoạt động.
560,卡,kǎ,"Kẹt, đơ, lag",FALSE,卡,捆包机卡带子。,kǔnbāojī kǎ dàizi.,Máy đóng đai bị kẹt dây đai.
561,扫码,sǎomǎ,Quét mã,FALSE,扫码,入货的时候要扫码。,rùhuò de shíhou yào sǎomǎ.,Khi nhập hàng cần quét mã.
562,二维码,èrwéimǎ,Mã QR,FALSE,二维码,这是二维码。,zhè shì èrwéimǎ.,Đây là mã QR.
563,密码,mìmǎ,Mật khẩu (Password),FALSE,密码,你的密码是什么？,nǐ de mìmǎ shì shénme?,Mật khẩu của bạn là gì?
564,刮伤,guāshāng,Trầy xước,FALSE,刮伤,表面有刮伤。,biǎomiàn yǒu guāshāng.,Bề mặt có vết trầy xước.
565,避免,bìmiǎn,"Tránh, ngăn ngừa",FALSE,避免,避免浪费时间。,bìmiǎn làngfèi shíjiān.,Tránh lãng phí thời gian.
566,浪费,làngfèi,Lãng phí,FALSE,浪费,避免浪费时间。,bìmiǎn làngfèi shíjiān.,Tránh lãng phí thời gian.
567,熬夜,áoyè,Thức khuya,FALSE,熬夜,避免熬夜。,bìmiǎn áoyè.,Tránh thức khuya.
568,减少,jiǎnshǎo,Giảm thiểu,FALSE,减少,调整机器可以减少刮伤。,tiáozhěng jīqì kěyǐ jiǎnshǎo guāshāng.,Điều chỉnh máy có thể giảm trầy xước.
569,增加,zēngjiā,Tăng thêm,FALSE,增加,增加产量。,zēngjiā chǎnliàng.,Tăng thêm sản lượng.
570,推进,tuījìn,Thúc đẩy,FALSE,推进,推进出货的进度。,tuījìn chūhuò de jìndù.,Đẩy tiến độ xuất hàng.
571,评价,píngjià,Đánh giá,FALSE,评价,客户叫我评价生产设备。,kèhù jiào wǒ píngjià shēngchǎn shèbèi.,Khách hàng bảo tôi đánh giá thiết bị sản xuất.
572,确认,quèrèn,Xác nhận,FALSE,确认,请确认出货的时间。,qǐng quèrèn chūhuò de shíjiān.,Hãy xác nhận thời gian xuất hàng.
573,满意,mǎnyì,"Thỏa mãn, hài lòng",FALSE,满意,你对我们的服务满意吗？,nǐ duì wǒmen de fúwù mǎnyì ma?,Bạn có hài lòng với dịch vụ của chúng tôi không?
574,表面,biǎomiàn,Bề mặt,FALSE,表面,产品表面有刮伤。,chǎnpǐn biǎomiàn yǒu guāshāng.,Bề mặt sản phẩm có vết trầy xước.
575,态度,tàidù,Thái độ,FALSE,态度,态度很好。,tàidù hěn hǎo.,Thái độ rất tốt.
576,了解,liǎojiě,Tìm hiểu / Hiểu rõ,FALSE,了解,你对我们公司了解了什么？,nǐ duì wǒmen gōngsī liǎojiě le shénme?,Bạn đã tìm hiểu gì về công ty chúng tôi?
577,离开,líkāi,Rời khỏi / Nghỉ việc,FALSE,离开,你为什么离开上一家公司？,nǐ wèishéme líkāi shàng yī jiā gōngsī?,Tại sao bạn lại nghỉ việc ở công ty cũ?
578,福利,fúlì,Phúc lợi,FALSE,福利,公司的福利制度很好。,gōngsī de fúlì zhìdù hěn hǎo.,Chế độ phúc lợi của công ty rất tốt.
